entry,at,order
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:10:26.191Z,159545942619265
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:10:26.191Z,159545942619264
"Your hand is 3d, 6d",2020-07-22T23:10:26.191Z,159545942619258
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1725) | #6 ""Betch @ YeMPDpoUiL"" (275)",2020-07-22T23:10:26.191Z,159545942619257
"-- starting hand #22  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:10:26.191Z,159545942619250
"""Betch @ YeMPDpoUiL"" shows a 5d, 6s.",2020-07-22T23:10:23.425Z,159545942342757
"""Cole Ste @ gO7Gvhk4ER"" shows a Ac, 5c.",2020-07-22T23:10:21.184Z,159545942118611
"-- ending hand #21 --",2020-07-22T23:10:20.684Z,159545942068565
"""Cole Ste @ gO7Gvhk4ER"" collected 10 from pot",2020-07-22T23:10:20.684Z,159545942068563
"Uncalled bet of 5 returned to ""Cole Ste @ gO7Gvhk4ER""",2020-07-22T23:10:20.684Z,159545942068559
"""Betch @ YeMPDpoUiL"" folds",2020-07-22T23:10:19.262Z,159545941926308
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:10:10.196Z,159545941019879
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:10:10.196Z,159545941019878
"Your hand is Ac, 5c",2020-07-22T23:10:10.196Z,159545941019873
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1720) | #6 ""Betch @ YeMPDpoUiL"" (280)",2020-07-22T23:10:10.196Z,159545941019871
"-- starting hand #21  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:10:10.196Z,159545941019865
"-- ending hand #20 --",2020-07-22T23:10:06.644Z,159545940664608
"""Betch @ YeMPDpoUiL"" collected 10 from pot",2020-07-22T23:10:06.644Z,159545940664606
"Uncalled bet of 5 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:10:06.644Z,159545940664565
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:10:05.234Z,159545940523622
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:09:58.924Z,159545939892732
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:09:58.924Z,159545939892730
"Your hand is Jh, 2d",2020-07-22T23:09:58.924Z,159545939892724
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1725) | #6 ""Betch @ YeMPDpoUiL"" (275)",2020-07-22T23:09:58.924Z,159545939892723
"-- starting hand #20  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:09:58.924Z,159545939892717
"""Cole Ste @ gO7Gvhk4ER"" shows a 3c, 10c.",2020-07-22T23:09:57.046Z,159545939704738
"""Betch @ YeMPDpoUiL"" shows a Ah, 3d.",2020-07-22T23:09:54.716Z,159545939471756
"-- ending hand #19 --",2020-07-22T23:09:53.384Z,159545939338622
"""Betch @ YeMPDpoUiL"" collected 160 from pot",2020-07-22T23:09:53.384Z,159545939338620
"Uncalled bet of 115 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:09:53.384Z,159545939338614
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:09:51.974Z,159545939197539
"""Betch @ YeMPDpoUiL"" raises to 175 and go all in",2020-07-22T23:09:47.181Z,159545938718206
"""Cole Ste @ gO7Gvhk4ER"" raises to 60",2020-07-22T23:09:43.631Z,159545938363454
"""Betch @ YeMPDpoUiL"" bets 20",2020-07-22T23:09:39.872Z,159545937987339
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T23:09:35.518Z,159545937551907
"flop:  [2s, 8c, 4h]",2020-07-22T23:09:33.504Z,159545937350691
"""Cole Ste @ gO7Gvhk4ER"" calls 20",2020-07-22T23:09:32.586Z,159545937258986
"""Betch @ YeMPDpoUiL"" raises to 20",2020-07-22T23:09:11.284Z,159545935128634
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:09:06.648Z,159545934664904
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:09:06.648Z,159545934664903
"Your hand is 3c, 10c",2020-07-22T23:09:06.648Z,159545934664897
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1805) | #6 ""Betch @ YeMPDpoUiL"" (195)",2020-07-22T23:09:06.648Z,159545934664896
"-- starting hand #19  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:09:06.648Z,159545934664889
"-- ending hand #18 --",2020-07-22T23:09:03.139Z,159545934313998
"""Betch @ YeMPDpoUiL"" collected 10 from pot",2020-07-22T23:09:03.139Z,159545934313997
"Uncalled bet of 5 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:09:03.139Z,159545934313991
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:09:01.690Z,159545934169202
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:08:56.936Z,159545933693824
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:08:56.936Z,159545933693823
"Your hand is 5h, 4d",2020-07-22T23:08:56.936Z,159545933693817
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1810) | #6 ""Betch @ YeMPDpoUiL"" (190)",2020-07-22T23:08:56.936Z,159545933693815
"-- starting hand #18  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:08:56.936Z,159545933693809
"-- ending hand #17 --",2020-07-22T23:08:53.386Z,159545933338989
"""Betch @ YeMPDpoUiL"" collected 40 from pot",2020-07-22T23:08:53.386Z,159545933338988
"Uncalled bet of 20 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:08:53.386Z,159545933338982
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:08:51.970Z,159545933197314
"""Betch @ YeMPDpoUiL"" bets 20",2020-07-22T23:08:47.466Z,159545932746666
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T23:08:42.951Z,159545932295273
"flop:  [6s, Qd, Kd]",2020-07-22T23:08:41.269Z,159545932126972
"""Cole Ste @ gO7Gvhk4ER"" calls 20",2020-07-22T23:08:40.359Z,159545932036036
"""Betch @ YeMPDpoUiL"" raises to 20",2020-07-22T23:08:09.905Z,159545928990608
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:08:04.869Z,159545928487146
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:08:04.869Z,159545928487145
"Your hand is 5h, Js",2020-07-22T23:08:04.869Z,159545928487140
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1830) | #6 ""Betch @ YeMPDpoUiL"" (170)",2020-07-22T23:08:04.869Z,159545928487138
"-- starting hand #17  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:08:04.869Z,159545928487132
"""Cole Ste @ gO7Gvhk4ER"" shows a 2d, 3h.",2020-07-22T23:08:03.357Z,159545928335877
"""Betch @ YeMPDpoUiL"" shows a 10d, 6s.",2020-07-22T23:08:00.361Z,159545928036204
"-- ending hand #16 --",2020-07-22T23:07:59.366Z,159545927936702
"""Betch @ YeMPDpoUiL"" collected 10 from pot",2020-07-22T23:07:59.366Z,159545927936700
"Uncalled bet of 5 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:07:59.366Z,159545927936694
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:07:57.952Z,159545927795304
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:07:56.246Z,159545927624792
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:07:56.246Z,159545927624790
"Your hand is 2d, 3h",2020-07-22T23:07:56.246Z,159545927624786
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1835) | #6 ""Betch @ YeMPDpoUiL"" (165)",2020-07-22T23:07:56.246Z,159545927624784
"-- starting hand #16  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:07:56.246Z,159545927624778
"""Cole Ste @ gO7Gvhk4ER"" shows a 2c, 6s.",2020-07-22T23:07:53.516Z,159545927351723
"-- ending hand #15 --",2020-07-22T23:07:51.717Z,159545927171809
"""Cole Ste @ gO7Gvhk4ER"" collected 10 from pot",2020-07-22T23:07:51.717Z,159545927171807
"Uncalled bet of 5 returned to ""Cole Ste @ gO7Gvhk4ER""",2020-07-22T23:07:51.717Z,159545927171800
"""Betch @ YeMPDpoUiL"" folds",2020-07-22T23:07:50.302Z,159545927030326
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:07:47.385Z,159545926738746
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:07:47.385Z,159545926738744
"Your hand is 2c, 6s",2020-07-22T23:07:47.385Z,159545926738739
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1830) | #6 ""Betch @ YeMPDpoUiL"" (170)",2020-07-22T23:07:47.385Z,159545926738737
"-- starting hand #15  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:07:47.385Z,159545926738731
"""Cole Ste @ gO7Gvhk4ER"" shows a Jc, 5c.",2020-07-22T23:07:45.170Z,159545926517104
"""Betch @ YeMPDpoUiL"" shows a 8c, 7c.",2020-07-22T23:07:43.677Z,159545926367884
"-- ending hand #14 --",2020-07-22T23:07:41.871Z,159545926187304
"""Betch @ YeMPDpoUiL"" collected 60 from pot",2020-07-22T23:07:41.871Z,159545926187302
"Uncalled bet of 30 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:07:41.871Z,159545926187296
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:07:40.459Z,159545926046013
"""Betch @ YeMPDpoUiL"" bets 30",2020-07-22T23:07:27.049Z,159545924705011
"flop:  [10c, 10h, 3s]",2020-07-22T23:07:20.088Z,159545924009016
"""Cole Ste @ gO7Gvhk4ER"" calls 30",2020-07-22T23:07:19.180Z,159545923918254
"""Betch @ YeMPDpoUiL"" raises to 30",2020-07-22T23:07:16.015Z,159545923601815
"""Cole Ste @ gO7Gvhk4ER"" calls 10",2020-07-22T23:07:12.833Z,159545923283520
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:07:08.394Z,159545922839860
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:07:08.394Z,159545922839858
"Your hand is Jc, 5c",2020-07-22T23:07:08.394Z,159545922839853
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1860) | #6 ""Betch @ YeMPDpoUiL"" (140)",2020-07-22T23:07:08.394Z,159545922839851
"-- starting hand #14  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:07:08.394Z,159545922839844
"""Betch @ YeMPDpoUiL"" shows a 7d, 6d.",2020-07-22T23:07:05.304Z,159545922530997
"""Cole Ste @ gO7Gvhk4ER"" shows a 7h, 3d.",2020-07-22T23:07:03.665Z,159545922366733
"-- ending hand #13 --",2020-07-22T23:07:02.881Z,159545922288313
"""Betch @ YeMPDpoUiL"" collected 20 from pot",2020-07-22T23:07:02.881Z,159545922288312
"Uncalled bet of 20 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:07:02.881Z,159545922288305
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:07:01.470Z,159545922147147
"""Betch @ YeMPDpoUiL"" raises to 30",2020-07-22T23:07:00.458Z,159545922045921
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:06:55.522Z,159545921552448
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:06:55.522Z,159545921552446
"Your hand is 7h, 3d",2020-07-22T23:06:55.522Z,159545921552431
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1870) | #6 ""Betch @ YeMPDpoUiL"" (130)",2020-07-22T23:06:55.522Z,159545921552429
"-- starting hand #13  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:06:55.522Z,159545921552424
"-- ending hand #12 --",2020-07-22T23:06:48.944Z,159545920894751
"""Betch @ YeMPDpoUiL"" shows a 7d, 9d.",2020-07-22T23:06:48.944Z,159545920894749
"""Cole Ste @ gO7Gvhk4ER"" collected 240 from pot with Two Pair, Q's & 6's (hand: 9h, Qh)",2020-07-22T23:06:48.944Z,159545920894744
"""Cole Ste @ gO7Gvhk4ER"" calls 60",2020-07-22T23:06:48.033Z,159545920803518
"""Betch @ YeMPDpoUiL"" bets 60",2020-07-22T23:06:45.855Z,159545920585640
"river: 6h, 6d, 4h, Jc [Qd]",2020-07-22T23:06:35.546Z,159545919554909
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T23:06:34.639Z,159545919464120
"""Betch @ YeMPDpoUiL"" checks",2020-07-22T23:06:31.535Z,159545919153847
"turn: 6h, 6d, 4h [Jc]",2020-07-22T23:06:25.811Z,159545918581372
"""Betch @ YeMPDpoUiL"" calls 30",2020-07-22T23:06:24.897Z,159545918489997
"""Cole Ste @ gO7Gvhk4ER"" bets 30",2020-07-22T23:06:22.910Z,159545918291156
"""Betch @ YeMPDpoUiL"" checks",2020-07-22T23:06:14.493Z,159545917449608
"flop:  [6h, 6d, 4h]",2020-07-22T23:06:07.932Z,159545916793898
"""Betch @ YeMPDpoUiL"" calls 30",2020-07-22T23:06:07.018Z,159545916702056
"""Cole Ste @ gO7Gvhk4ER"" raises to 30",2020-07-22T23:06:04.288Z,159545916429356
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:05:57.769Z,159545915777147
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:05:57.769Z,159545915777146
"Your hand is 9h, Qh",2020-07-22T23:05:57.769Z,159545915777140
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1750) | #6 ""Betch @ YeMPDpoUiL"" (250)",2020-07-22T23:05:57.769Z,159545915777139
"-- starting hand #12  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:05:57.769Z,159545915777132
"-- ending hand #11 --",2020-07-22T23:05:51.208Z,159545915121094
"""Betch @ YeMPDpoUiL"" collected 250 from pot with Two Pair, Q's & 8's (hand: 8d, 7h)",2020-07-22T23:05:51.208Z,159545915121088
"river: 6d, Qs, Qh, 2c [8h]",2020-07-22T23:05:48.180Z,159545914818280
"turn: 6d, Qs, Qh [2c]",2020-07-22T23:05:45.145Z,159545914514684
"""Betch @ YeMPDpoUiL"" shows a 8d, 7h.",2020-07-22T23:05:42.129Z,159545914213024
"""Cole Ste @ gO7Gvhk4ER"" shows a 7c, Ah.",2020-07-22T23:05:42.129Z,159545914213022
"flop:  [6d, Qs, Qh]",2020-07-22T23:05:42.129Z,159545914213016
"""Cole Ste @ gO7Gvhk4ER"" calls 125",2020-07-22T23:05:41.221Z,159545914122346
"""Betch @ YeMPDpoUiL"" raises to 125 and go all in",2020-07-22T23:05:39.719Z,159545913972070
"""Cole Ste @ gO7Gvhk4ER"" raises to 50",2020-07-22T23:05:35.462Z,159545913546338
"""Betch @ YeMPDpoUiL"" raises to 20",2020-07-22T23:05:25.515Z,159545912551782
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:05:19.204Z,159545911920798
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:05:19.204Z,159545911920797
"Your hand is 7c, Ah",2020-07-22T23:05:19.204Z,159545911920790
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1875) | #6 ""Betch @ YeMPDpoUiL"" (125)",2020-07-22T23:05:19.204Z,159545911920783
"-- starting hand #11  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:05:19.204Z,159545911920773
"""Cole Ste @ gO7Gvhk4ER"" shows a 8c, 10c.",2020-07-22T23:05:15.685Z,159545911568635
"-- ending hand #10 --",2020-07-22T23:05:14.680Z,159545911468119
"""Cole Ste @ gO7Gvhk4ER"" collected 100 from pot",2020-07-22T23:05:14.680Z,159545911468117
"Uncalled bet of 1775 returned to ""Cole Ste @ gO7Gvhk4ER""",2020-07-22T23:05:14.680Z,159545911468112
"""Betch @ YeMPDpoUiL"" folds",2020-07-22T23:05:13.266Z,159545911326726
"""Cole Ste @ gO7Gvhk4ER"" bets 1775 and go all in",2020-07-22T23:05:08.546Z,159545910854794
"""Betch @ YeMPDpoUiL"" checks",2020-07-22T23:05:03.920Z,159545910392156
"turn: 7d, 4h, Kc [As]",2020-07-22T23:05:00.263Z,159545910028618
"""Betch @ YeMPDpoUiL"" calls 20",2020-07-22T23:04:59.307Z,159545909930824
"""Cole Ste @ gO7Gvhk4ER"" bets 20",2020-07-22T23:04:47.729Z,159545908773102
"""Betch @ YeMPDpoUiL"" checks",2020-07-22T23:04:38.587Z,159545907858870
"flop:  [7d, 4h, Kc]",2020-07-22T23:04:33.996Z,159545907399730
"""Betch @ YeMPDpoUiL"" calls 30",2020-07-22T23:04:33.082Z,159545907308349
"""Cole Ste @ gO7Gvhk4ER"" raises to 30",2020-07-22T23:04:29.703Z,159545906970495
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:04:17.588Z,159545905759096
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:04:17.588Z,159545905759093
"Your hand is 8c, 10c",2020-07-22T23:04:17.588Z,159545905759084
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1825) | #6 ""Betch @ YeMPDpoUiL"" (175)",2020-07-22T23:04:17.588Z,159545905759082
"-- starting hand #10  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:04:17.588Z,159545905759076
"""Betch @ YeMPDpoUiL"" shows a 7s, 2h.",2020-07-22T23:04:14.516Z,159545905452514
"""Cole Ste @ gO7Gvhk4ER"" shows a Ah, 9d.",2020-07-22T23:04:12.828Z,159545905282957
"-- ending hand #9 --",2020-07-22T23:04:12.068Z,159545905206966
"""Cole Ste @ gO7Gvhk4ER"" collected 10 from pot",2020-07-22T23:04:12.068Z,159545905206964
"Uncalled bet of 5 returned to ""Cole Ste @ gO7Gvhk4ER""",2020-07-22T23:04:12.068Z,159545905206958
"""Betch @ YeMPDpoUiL"" folds",2020-07-22T23:04:10.643Z,159545905064416
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:04:08.782Z,159545904878348
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:04:08.782Z,159545904878347
"Your hand is Ah, 9d",2020-07-22T23:04:08.782Z,159545904878341
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1820) | #6 ""Betch @ YeMPDpoUiL"" (180)",2020-07-22T23:04:08.782Z,159545904878340
"-- starting hand #9  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:04:08.782Z,159545904878333
"-- ending hand #8 --",2020-07-22T23:04:05.231Z,159545904523211
"""Betch @ YeMPDpoUiL"" collected 10 from pot",2020-07-22T23:04:05.231Z,159545904523209
"Uncalled bet of 5 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:04:05.231Z,159545904523203
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:04:03.806Z,159545904381983
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:04:00.363Z,159545904036524
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:04:00.363Z,159545904036523
"Your hand is 2s, 3c",2020-07-22T23:04:00.363Z,159545904036518
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1825) | #6 ""Betch @ YeMPDpoUiL"" (175)",2020-07-22T23:04:00.363Z,159545904036516
"-- starting hand #8  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:04:00.363Z,159545904036510
"-- ending hand #7 --",2020-07-22T23:03:53.795Z,159545903379746
"""Cole Ste @ gO7Gvhk4ER"" collected 80 from pot with Pair, 6's (hand: Kc, 6h)",2020-07-22T23:03:53.795Z,159545903379739
"""Betch @ YeMPDpoUiL"" checks",2020-07-22T23:03:52.889Z,159545903289069
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T23:03:36.719Z,159545901672017
"river: 4h, 10h, 6s, 2s [8h]",2020-07-22T23:03:20.446Z,159545900044820
"""Betch @ YeMPDpoUiL"" calls 20",2020-07-22T23:03:19.539Z,159545899954118
"""Cole Ste @ gO7Gvhk4ER"" bets 20",2020-07-22T23:03:17.725Z,159545899772648
"turn: 4h, 10h, 6s [2s]",2020-07-22T23:03:11.566Z,159545899156761
"""Betch @ YeMPDpoUiL"" checks",2020-07-22T23:03:10.648Z,159545899064981
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T23:03:08.536Z,159545898853745
"flop:  [4h, 10h, 6s]",2020-07-22T23:03:05.578Z,159545898557936
"""Cole Ste @ gO7Gvhk4ER"" calls 20",2020-07-22T23:03:04.668Z,159545898466928
"""Betch @ YeMPDpoUiL"" raises to 20",2020-07-22T23:03:02.397Z,159545898240078
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:02:55.324Z,159545897532543
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:02:55.324Z,159545897532541
"Your hand is Kc, 6h",2020-07-22T23:02:55.324Z,159545897532536
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1785) | #6 ""Betch @ YeMPDpoUiL"" (215)",2020-07-22T23:02:55.324Z,159545897532534
"-- starting hand #7  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:02:55.324Z,159545897532528
"""Betch @ YeMPDpoUiL"" shows a 7h, 3s.",2020-07-22T23:02:52.054Z,159545897206484
"-- ending hand #6 --",2020-07-22T23:02:50.805Z,159545897080674
"""Betch @ YeMPDpoUiL"" collected 10 from pot",2020-07-22T23:02:50.805Z,159545897080672
"Uncalled bet of 5 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:02:50.805Z,159545897080666
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:02:49.386Z,159545896938862
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:02:47.944Z,159545896794583
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:02:47.944Z,159545896794581
"Your hand is 10d, 3h",2020-07-22T23:02:47.944Z,159545896794576
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1790) | #6 ""Betch @ YeMPDpoUiL"" (210)",2020-07-22T23:02:47.944Z,159545896794574
"-- starting hand #6  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:02:47.944Z,159545896794568
"-- ending hand #5 --",2020-07-22T23:02:44.434Z,159545896443593
"""Betch @ YeMPDpoUiL"" collected 40 from pot",2020-07-22T23:02:44.434Z,159545896443591
"Uncalled bet of 170 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T23:02:44.434Z,159545896443585
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T23:02:43.022Z,159545896302428
"""Betch @ YeMPDpoUiL"" bets 170 and go all in",2020-07-22T23:02:00.875Z,159545892087725
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T23:01:57.572Z,159545891757379
"flop:  [5c, Kc, Jc]",2020-07-22T23:01:55.181Z,159545891518921
"""Cole Ste @ gO7Gvhk4ER"" calls 20",2020-07-22T23:01:54.246Z,159545891424774
"""Betch @ YeMPDpoUiL"" raises to 20",2020-07-22T23:01:51.730Z,159545891173191
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T23:01:44.978Z,159545890498017
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T23:01:44.978Z,159545890498016
"Your hand is 6s, Qc",2020-07-22T23:01:44.978Z,159545890498010
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1810) | #6 ""Betch @ YeMPDpoUiL"" (190)",2020-07-22T23:01:44.978Z,159545890498009
"-- starting hand #5  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T23:01:44.978Z,159545890498002
"-- ending hand #4 --",2020-07-22T23:01:38.372Z,159545889837614
"""Cole Ste @ gO7Gvhk4ER"" collected 1810 from pot with Two Pair, A's & 8's (hand: Js, Ac)",2020-07-22T23:01:38.372Z,159545889837609
"""Betch @ YeMPDpoUiL"" shows a Ks, Jh.",2020-07-22T23:01:35.324Z,159545889535072
"""Cole Ste @ gO7Gvhk4ER"" shows a Js, Ac.",2020-07-22T23:01:35.324Z,159545889535070
"river: 8s, 8h, 2d, Ad [Kh]",2020-07-22T23:01:35.324Z,159545889535064
"""Betch @ YeMPDpoUiL"" calls 643",2020-07-22T23:01:34.416Z,159545889441860
"""Cole Ste @ gO7Gvhk4ER"" raises to 643 and go all in",2020-07-22T23:01:31.034Z,159545889103679
"""Betch @ YeMPDpoUiL"" bets 262",2020-07-22T23:01:21.982Z,159545888198353
"turn: 8s, 8h, 2d [Ad]",2020-07-22T23:01:10.277Z,159545887027986
"""Cole Ste @ gO7Gvhk4ER"" calls 157",2020-07-22T23:01:09.351Z,159545886935265
"""Betch @ YeMPDpoUiL"" bets 157",2020-07-22T23:01:00.709Z,159545886071576
"flop:  [8s, 8h, 2d]",2020-07-22T23:00:54.621Z,159545885462382
"""Cole Ste @ gO7Gvhk4ER"" calls 105",2020-07-22T23:00:53.698Z,159545885369956
"""Betch @ YeMPDpoUiL"" raises to 105",2020-07-22T23:00:42.166Z,159545884216762
"""Cole Ste @ gO7Gvhk4ER"" raises to 35",2020-07-22T23:00:33.207Z,159545883320939
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T23:00:24.073Z,159545882407554
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T23:00:24.073Z,159545882407553
"Your hand is Js, Ac",2020-07-22T23:00:24.073Z,159545882407548
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (905) | #6 ""Betch @ YeMPDpoUiL"" (1095)",2020-07-22T23:00:24.073Z,159545882407546
"-- starting hand #4  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T23:00:24.073Z,159545882407540
"-- ending hand #3 --",2020-07-22T23:00:17.471Z,159545881748002
"""Cole Ste @ gO7Gvhk4ER"" collected 300 from pot with Two Pair, Q's & 7's (hand: 2d, 7d)",2020-07-22T23:00:17.471Z,159545881747996
"""Betch @ YeMPDpoUiL"" checks",2020-07-22T23:00:16.548Z,159545881654938
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T23:00:14.542Z,159545881455110
"river: Qc, 7s, 8d, Qs [Ks]",2020-07-22T23:00:10.628Z,159545881063724
"""Cole Ste @ gO7Gvhk4ER"" calls 90",2020-07-22T23:00:09.719Z,159545880972094
"""Betch @ YeMPDpoUiL"" bets 90",2020-07-22T23:00:07.050Z,159545880705192
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T23:00:03.670Z,159545880367396
"turn: Qc, 7s, 8d [Qs]",2020-07-22T23:00:01.771Z,159545880177396
